Date,Open,High,Low,Close,Adj Close,Volume
Jul 20 2018,16.24,16.33,16.13,16.32,16.32,81800.0
Jul 19 2018,16.07,16.22,16.02,16.20,16.20,82100.0
Jul 18 2018,16.12,16.12,15.99,16.05,16.05,41900.0
Jul 17 2018,15.99,16.10,15.94,16.04,16.04,97200.0
Jul 16 2018,15.78,15.96,15.78,15.85,15.85,23800.0
Jul 13 2018,15.85,15.89,15.70,15.77,15.77,56500.0
Jul 12 2018,15.80,16.13,15.66,15.94,15.94,124100.0
Jul 11 2018,15.92,15.97,15.73,15.76,15.76,117300.0
Jul 10 2018,16.20,16.20,15.88,16.04,16.04,214700.0
Jul 09 2018,16.37,16.37,16.14,16.29,16.29,59700.0
Jul 06 2018,16.19,16.55,16.19,16.51,16.51,82600.0
Jul 05 2018,16.21,16.38,16.14,16.14,16.14,44400.0
Jul 03 2018,16.14,16.27,16.13,16.19,16.19,26500.0
Jul 02 2018,16.38,16.38,15.96,16.01,16.01,122200.0
Jun 29 2018,16.30,16.63,16.30,16.44,16.44,86300.0
Jun 28 2018,16.48,16.48,16.20,16.21,16.21,42000.0
Jun 27 2018,16.59,16.70,16.47,16.50,16.50,80100.0
Jun 26 2018,16.57,16.61,16.35,16.52,16.52,61000.0
Jun 25 2018,16.58,16.68,16.40,16.41,16.41,101400.0
Jun 22 2018,16.72,16.80,16.63,16.71,16.71,33100.0
Jun 21 2018,16.66,16.81,16.63,16.75,16.75,80900.0
Jun 20 2018,16.66,16.73,16.38,16.63,16.63,101000.0
Jun 19 2018,16.39,16.73,16.01,16.60,16.60,399400.0
Jun 18 2018,16.77,16.79,16.62,16.65,16.65,103600.0
Jun 15 2018,16.75,17.11,16.69,16.87,16.87,155200.0
Jun 14 2018,17.21,17.23,16.92,16.95,16.95,203400.0
Jun 13 2018,17.39,17.50,17.31,17.40,17.40,319700.0
Jun 12 2018,17.18,17.55,17.17,17.46,17.46,316900.0
Jun 11 2018,17.41,17.44,17.06,17.07,17.07,206200.0
