Date,Open,High,Low,Close,Adj Close,Volume
Jul 20 2018,208.85,211.50,208.50,209.94,209.94,16163900.0
Jul 19 2018,208.77,209.99,207.76,208.09,208.09,11350400.0
Jul 18 2018,209.82,210.99,208.44,209.36,209.36,15334900.0
Jul 17 2018,204.90,210.46,204.84,209.99,209.99,15349900.0
Jul 16 2018,207.50,208.72,206.84,207.23,207.23,11078200.0
Jul 13 2018,207.81,208.43,206.45,207.32,207.32,11486800.0
Jul 12 2018,203.43,207.08,203.19,206.92,206.92,15454700.0
Jul 11 2018,202.22,204.50,201.75,202.54,202.54,12927400.0
Jul 10 2018,204.50,204.91,202.26,203.54,203.54,13190100.0
Jul 09 2018,204.93,205.80,202.12,204.74,204.74,18149400.0
Jul 06 2018,198.45,203.64,197.70,203.23,203.23,19740100.0
Jul 05 2018,194.74,198.65,194.03,198.45,198.45,19684200.0
Jul 03 2018,194.55,195.40,192.52,192.73,192.73,13489500.0
Jul 02 2018,193.37,197.45,192.22,197.36,197.36,13961600.0
Jun 29 2018,197.32,197.60,193.96,194.32,194.32,15811600.0
Jun 28 2018,195.18,197.34,193.26,196.23,196.23,18172400.0
Jun 27 2018,199.18,200.75,195.80,195.84,195.84,18734400.0
Jun 26 2018,197.60,199.10,196.23,199.00,199.00,17897600.0
Jun 25 2018,200.00,200.00,193.11,196.35,196.35,25275100.0
Jun 22 2018,201.16,202.24,199.31,201.74,201.74,17420200.0
Jun 21 2018,202.76,203.39,200.09,201.50,201.50,19045700.0
Jun 20 2018,199.10,203.55,198.81,202.00,202.00,28230900.0
Jun 19 2018,196.24,197.96,193.79,197.49,197.49,19994000.0
Jun 18 2018,194.80,199.58,194.13,198.31,198.31,16826000.0
Jun 15 2018,195.79,197.07,194.64,195.85,195.85,21860900.0
Jun 14 2018,193.10,197.28,192.91,196.81,196.81,19120900.0
Jun 13 2018,192.74,194.50,191.91,192.41,192.41,15853800.0
Jun 12 2018,192.17,193.28,191.56,192.40,192.40,11562700.0
Jun 11 2018,188.81,192.60,188.80,191.54,191.54,12928900.0
Jun 08 2018,187.53,189.48,186.43,189.10,189.10,12677100.0
Jun 07 2018,190.75,190.97,186.77,188.18,188.18,21503200.0
Jun 06 2018,191.03,192.53,189.11,191.34,191.34,22558900.0
Jun 05 2018,194.30,195.00,192.62,192.94,192.94,15544300.0
Jun 04 2018,191.84,193.98,191.47,193.28,193.28,18841600.0
Jun 01 2018,193.07,194.55,192.07,193.99,193.99,17114400.0
May 31 2018,187.87,192.72,187.48,191.78,191.78,30782600.0
May 30 2018,186.54,188.00,185.25,187.67,187.67,13736900.0
May 29 2018,184.34,186.81,183.71,185.74,185.74,16308900.0
May 25 2018,186.02,186.33,184.45,184.92,184.92,10965100.0
May 24 2018,185.88,186.80,185.03,185.93,185.93,11583400.0
May 23 2018,182.50,186.91,182.18,186.90,186.90,16338900.0
May 22 2018,184.93,185.42,183.43,183.80,183.80,12731400.0
May 21 2018,183.77,185.30,183.13,184.49,184.49,13532900.0
May 18 2018,183.49,184.19,182.61,182.68,182.68,13130500.0
May 17 2018,182.68,184.06,182.22,183.76,183.76,14840700.0
May 16 2018,183.70,184.32,182.66,183.20,183.20,16975500.0
May 15 2018,184.88,185.29,183.20,184.32,184.32,15429400.0
May 14 2018,187.71,187.86,186.20,186.64,186.64,15646700.0
May 11 2018,184.85,188.32,184.18,186.99,186.99,21207800.0
May 10 2018,183.15,186.13,182.50,185.53,185.53,21071400.0
May 09 2018,179.67,183.01,178.78,182.66,182.66,23282800.0
May 08 2018,178.25,179.04,177.11,178.92,178.92,15577200.0
May 07 2018,177.35,179.50,177.17,177.97,177.97,18697200.0
May 04 2018,173.08,176.98,173.06,176.61,176.61,17677800.0
May 03 2018,175.13,176.12,172.12,174.02,174.02,24026100.0
May 02 2018,174.25,178.08,174.20,176.07,176.07,30424500.0
May 01 2018,172.00,174.02,170.23,173.86,173.86,26025900.0
Apr 30 2018,173.79,175.72,171.71,172.00,172.00,20750500.0
Apr 27 2018,176.81,177.10,172.60,173.59,173.59,29804700.0
Apr 26 2018,173.22,176.27,170.80,174.16,174.16,77556900.0
Apr 25 2018,160.14,161.06,156.19,159.69,159.69,41083600.0
Apr 24 2018,165.43,166.10,158.19,159.69,159.69,35079900.0
Apr 23 2018,167.27,168.45,165.09,165.84,165.84,23088100.0
Apr 20 2018,167.79,168.43,165.81,166.28,166.28,19119400.0
Apr 19 2018,166.20,168.33,165.20,168.10,168.10,22235000.0
Apr 18 2018,166.88,168.12,165.77,166.36,166.36,20969600.0
Apr 17 2018,165.83,169.00,165.66,168.66,168.66,22743000.0
Apr 16 2018,165.72,165.78,163.39,164.83,164.83,18119400.0
Apr 13 2018,164.58,165.70,163.77,164.52,164.52,19990600.0
Apr 12 2018,166.98,167.45,163.10,163.87,163.87,38263000.0
Apr 11 2018,165.36,168.65,163.25,166.32,166.32,56144600.0
Apr 10 2018,157.93,165.98,157.01,165.04,165.04,57889300.0
Apr 09 2018,157.82,160.53,156.04,157.93,157.93,34915200.0
Apr 06 2018,157.73,161.42,156.81,157.20,157.20,41644800.0
Apr 05 2018,161.56,161.57,156.65,159.34,159.34,41449600.0
Apr 04 2018,152.03,155.56,150.51,155.10,155.10,49885600.0
Apr 03 2018,156.55,157.39,150.81,156.11,156.11,42543900.0
Apr 02 2018,157.81,159.20,154.11,155.39,155.39,36796000.0
Mar 29 2018,155.15,161.42,154.14,159.79,159.79,59434300.0
Mar 28 2018,151.65,155.88,150.80,153.03,153.03,60029200.0
Mar 27 2018,156.31,162.85,150.75,152.22,152.22,79117000.0
Mar 26 2018,160.82,161.10,149.02,160.06,160.06,126116600.0
Mar 23 2018,165.44,166.60,159.02,159.39,159.39,53609700.0
Mar 22 2018,166.13,170.27,163.72,164.89,164.89,73743000.0
Mar 21 2018,164.80,173.40,163.30,169.39,169.39,106598800.0
Mar 20 2018,167.47,170.20,161.95,168.15,168.15,129851800.0
Mar 19 2018,177.01,177.17,170.06,172.56,172.56,88140100.0
Mar 16 2018,184.49,185.33,183.41,185.09,185.09,24403400.0
Mar 15 2018,183.24,184.00,182.19,183.86,183.86,15614300.0
Mar 14 2018,182.60,184.25,181.85,184.19,184.19,16821700.0
Mar 13 2018,185.61,185.99,181.11,181.88,181.88,18067500.0
Mar 12 2018,185.23,186.10,184.22,184.76,184.76,15301200.0
Mar 09 2018,183.91,185.51,183.21,185.23,185.23,18526300.0
Mar 08 2018,183.56,184.40,181.45,182.34,182.34,17225900.0
Mar 07 2018,178.74,183.82,178.07,183.71,183.71,19097300.0
Mar 06 2018,181.78,182.38,179.11,179.78,179.78,15086800.0
Mar 05 2018,176.20,181.15,175.89,180.40,180.40,16189300.0
Mar 02 2018,173.29,177.11,172.99,176.62,176.62,20025900.0
Mar 01 2018,179.01,180.12,174.41,175.94,175.94,23201600.0
Feb 28 2018,182.30,182.88,178.14,178.32,178.32,18783000.0
Feb 27 2018,184.45,184.70,181.46,181.46,181.46,15849800.0
Feb 26 2018,184.58,185.66,183.22,184.93,184.93,17599700.0
Feb 23 2018,179.90,183.39,179.51,183.29,183.29,19007300.0
Feb 22 2018,178.70,180.21,177.41,178.99,178.99,18464200.0
Feb 21 2018,176.71,181.27,176.40,177.91,177.91,23200800.0
Feb 20 2018,175.77,177.95,175.11,176.01,176.01,21204900.0
Feb 16 2018,178.99,179.88,176.30,177.36,177.36,21015600.0
Feb 15 2018,180.50,180.50,176.84,179.96,179.96,20922100.0
Feb 14 2018,173.45,179.81,173.21,179.52,179.52,28929700.0
Feb 13 2018,175.62,175.97,173.10,173.15,173.15,21809400.0
Feb 12 2018,177.06,177.55,171.84,176.41,176.41,32092100.0
Feb 09 2018,174.76,176.90,167.18,176.11,176.11,39887600.0
Feb 08 2018,181.01,181.84,171.48,171.58,171.58,38478300.0
Feb 07 2018,184.15,185.08,179.95,180.18,180.18,27601900.0
Feb 06 2018,178.57,185.77,177.74,185.31,185.31,37758500.0
Feb 05 2018,186.93,190.61,180.61,181.26,181.26,33128200.0
Feb 02 2018,192.04,194.21,189.98,190.28,190.28,26677500.0
Feb 01 2018,188.22,195.32,187.89,193.09,193.09,54211300.0
Jan 31 2018,188.37,189.83,185.22,186.89,186.89,43275100.0
Jan 30 2018,187.62,188.18,181.84,187.12,187.12,20858600.0
Jan 29 2018,188.75,188.84,185.63,185.98,185.98,20453200.0
Jan 26 2018,187.75,190.00,186.81,190.00,190.00,17759200.0
Jan 25 2018,187.95,188.62,186.60,187.48,187.48,17377700.0
Jan 24 2018,189.89,190.66,186.52,186.55,186.55,24334500.0
Jan 23 2018,186.05,189.55,185.55,189.35,189.35,25678800.0
Jan 22 2018,180.80,185.39,180.41,185.37,185.37,21059500.0
Jan 19 2018,180.85,182.37,180.17,181.29,181.29,26826500.0
Jan 18 2018,178.13,180.98,177.08,179.80,179.80,23304900.0
Jan 17 2018,179.26,179.32,175.80,177.60,177.60,27649100.0
Jan 16 2018,181.50,181.75,178.04,178.39,178.39,36183800.0
Jan 12 2018,178.06,181.48,177.40,179.37,179.37,77551300.0
Jan 11 2018,188.40,188.40,187.38,187.77,187.77,9588600.0
Jan 10 2018,186.94,187.89,185.63,187.84,187.84,10529900.0
Jan 09 2018,188.70,188.80,187.10,187.87,187.87,12393100.0
Jan 08 2018,187.20,188.90,186.33,188.28,188.28,17994700.0
Jan 05 2018,185.59,186.90,184.93,186.85,186.85,13574500.0
Jan 04 2018,184.90,186.21,184.10,184.33,184.33,13880900.0
Jan 03 2018,181.88,184.78,181.33,184.67,184.67,16886600.0
Jan 02 2018,177.68,181.58,177.55,181.42,181.42,18151900.0
Dec 29 2017,178.00,178.85,176.46,176.46,176.46,10261500.0
Dec 28 2017,177.95,178.94,177.68,177.92,177.92,12220800.0
Dec 27 2017,176.55,178.44,176.26,177.62,177.62,9496100.0
Dec 26 2017,176.63,177.00,174.67,175.99,175.99,8897300.0
Dec 22 2017,177.14,177.53,176.23,177.20,177.20,8509500.0
Dec 21 2017,177.94,178.68,177.05,177.45,177.45,11600700.0
Dec 20 2017,179.81,179.81,177.36,177.89,177.89,11860500.0
Dec 19 2017,179.95,180.08,178.22,179.51,179.51,14920600.0
Dec 18 2017,181.01,181.30,179.75,180.82,180.82,17265400.0
Dec 15 2017,179.02,180.49,178.36,180.18,180.18,28463100.0
Dec 14 2017,178.29,180.36,177.68,178.39,178.39,13591000.0
Dec 13 2017,177.30,179.16,177.25,178.30,178.30,14615700.0
Dec 12 2017,178.60,179.18,176.60,176.96,176.96,16854100.0
Dec 11 2017,179.30,180.22,178.80,179.04,179.04,13168600.0
Dec 08 2017,181.53,182.28,178.74,179.00,179.00,19883800.0
Dec 07 2017,175.80,180.39,175.80,180.14,180.14,20404500.0
Dec 06 2017,172.50,176.77,171.90,176.06,176.06,20255800.0
Dec 05 2017,170.45,175.38,169.01,172.83,172.83,20184900.0
Dec 04 2017,176.29,176.57,170.79,171.47,171.47,24459400.0
Dec 01 2017,176.03,177.48,172.34,175.10,175.10,20182500.0
Nov 30 2017,176.85,178.28,175.20,177.18,177.18,25307600.0
Nov 29 2017,181.89,181.97,174.00,175.13,175.13,41933500.0
Nov 28 2017,183.51,184.25,182.09,182.42,182.42,14379700.0
Nov 27 2017,182.56,183.73,181.99,183.03,183.03,12344500.0
Nov 24 2017,180.40,183.15,180.29,182.78,182.78,9426300.0
Nov 22 2017,181.30,181.73,180.44,180.87,180.87,10376300.0
Nov 21 2017,179.15,181.89,178.99,181.86,181.86,14504000.0
Nov 20 2017,178.87,179.50,178.10,178.74,178.74,10052400.0
Nov 17 2017,179.30,179.98,178.90,179.00,179.00,13018000.0
Nov 16 2017,178.76,179.83,178.50,179.59,179.59,15607600.0
Nov 15 2017,176.66,178.57,176.40,177.95,177.95,10253700.0
Nov 14 2017,178.13,178.97,177.18,178.07,178.07,9585900.0
Nov 13 2017,177.50,179.04,177.30,178.77,178.77,9523400.0
Nov 10 2017,178.35,179.10,177.96,178.46,178.46,11070200.0
Nov 09 2017,178.31,179.40,177.09,179.30,179.30,12610300.0
Nov 08 2017,179.79,180.35,179.11,179.56,179.56,10494100.0
Nov 07 2017,180.50,180.75,178.96,180.25,180.25,12928200.0
Nov 06 2017,178.56,180.45,178.31,180.17,180.17,13312700.0
Nov 03 2017,179.29,179.86,176.71,178.92,178.92,17822100.0
Nov 02 2017,180.63,181.94,177.34,178.92,178.92,35529900.0
Nov 01 2017,182.36,182.90,180.57,182.66,182.66,40918300.0
Oct 31 2017,180.57,180.80,178.94,180.06,180.06,20174200.0
Oct 30 2017,179.26,180.69,177.61,179.87,179.87,24353200.0
Oct 27 2017,174.15,178.21,173.90,177.88,177.88,30285300.0
Oct 26 2017,171.38,172.29,170.39,170.63,170.63,11833100.0
Oct 25 2017,171.90,172.25,168.89,170.60,170.60,15868200.0
Oct 24 2017,172.30,173.24,171.50,171.80,171.80,12267900.0
Oct 23 2017,175.20,175.34,171.25,171.27,171.27,13852700.0
Oct 20 2017,175.50,175.88,174.63,174.98,174.98,12602200.0
Oct 19 2017,174.93,176.03,172.63,174.56,174.56,14048400.0
Oct 18 2017,176.65,176.74,175.75,176.03,176.03,12752400.0
Oct 17 2017,174.71,176.13,174.36,176.11,176.11,15990100.0
Oct 16 2017,174.49,175.00,174.06,174.52,174.52,11498800.0
Oct 13 2017,173.45,174.65,173.20,173.74,173.74,13658300.0
Oct 12 2017,172.61,173.85,172.29,172.55,172.55,10351000.0
Oct 11 2017,171.95,172.78,171.40,172.74,172.74,11283700.0
Oct 10 2017,173.00,173.20,170.80,171.59,171.59,11341100.0
Oct 09 2017,172.70,174.88,172.00,172.50,172.50,14570400.0
Oct 06 2017,170.25,172.37,169.75,172.23,172.23,13124500.0
Oct 05 2017,169.18,171.31,168.60,171.24,171.24,14580600.0
Oct 04 2017,169.83,170.67,168.29,168.42,168.42,12127900.0
Oct 03 2017,169.30,170.73,169.20,169.96,169.96,8190300.0
Oct 02 2017,171.39,171.87,168.75,169.47,169.47,13392300.0
Sep 29 2017,168.83,171.66,168.81,170.87,170.87,15340400.0
Sep 28 2017,167.94,169.07,167.16,168.73,168.73,12178700.0
Sep 27 2017,165.90,168.34,165.57,167.68,167.68,19242500.0
Sep 26 2017,164.50,165.50,162.78,164.21,164.21,23363300.0
Sep 25 2017,169.24,169.30,161.56,162.87,162.87,41251600.0
Sep 22 2017,170.21,171.73,169.22,170.54,170.54,12097100.0
Sep 21 2017,171.69,172.27,170.01,171.11,171.11,11161400.0
Sep 20 2017,172.50,173.05,170.70,172.17,172.17,12264100.0
Sep 19 2017,170.62,172.56,170.36,172.52,172.52,13168600.0
Sep 18 2017,171.99,172.07,169.34,170.01,170.01,12954000.0
Sep 15 2017,170.88,172.34,170.26,171.64,171.64,15660500.0
Sep 14 2017,172.26,172.28,170.50,170.96,170.96,15615700.0
Sep 13 2017,173.01,173.17,172.06,173.05,173.05,9119300.0
Sep 12 2017,173.76,174.00,171.75,172.96,172.96,11186300.0
Sep 11 2017,172.40,173.89,172.20,173.51,173.51,12372000.0
Sep 08 2017,173.09,173.49,170.80,170.95,170.95,10998500.0
Sep 07 2017,171.94,173.31,170.27,173.21,173.21,18049500.0
Sep 06 2017,170.91,172.48,169.57,172.09,172.09,13906300.0
Sep 05 2017,171.27,172.39,169.55,170.72,170.72,13210900.0
Sep 01 2017,172.40,172.92,171.31,172.02,172.02,11677600.0
Aug 31 2017,170.40,172.15,170.06,171.97,171.97,17226500.0
Aug 30 2017,168.17,170.18,167.63,169.92,169.92,11138300.0
Aug 29 2017,165.25,168.43,165.00,168.05,168.05,11121000.0
Aug 28 2017,166.91,167.70,166.33,167.24,167.24,8553700.0
Aug 25 2017,167.86,168.38,166.18,166.32,166.32,12614500.0
Aug 24 2017,168.88,169.29,166.41,167.74,167.74,14030400.0
Aug 23 2017,168.84,169.36,168.20,168.71,168.71,9856500.0
Aug 22 2017,168.28,169.87,167.15,169.64,169.64,11391000.0
Aug 21 2017,167.16,168.00,165.82,167.78,167.78,11907500.0
Aug 18 2017,166.84,168.67,166.21,167.41,167.41,15093600.0
Aug 17 2017,169.34,169.86,166.85,166.91,166.91,17216000.0
Aug 16 2017,171.25,171.38,169.24,170.00,170.00,15779900.0
Aug 15 2017,171.49,171.50,170.01,171.00,171.00,8729200.0
Aug 14 2017,170.09,171.08,169.29,170.75,170.75,12954200.0
Aug 11 2017,167.95,168.82,166.85,168.08,168.08,13791200.0
Aug 10 2017,170.06,170.59,166.85,167.40,167.40,20832700.0
Aug 09 2017,169.98,171.45,169.56,171.18,171.18,10815000.0
Aug 08 2017,171.88,173.05,170.62,171.23,171.23,14393500.0
Aug 07 2017,169.95,172.06,169.66,171.98,171.98,12787800.0
Aug 04 2017,168.97,170.06,168.69,169.62,169.62,10777700.0
Aug 03 2017,169.30,169.70,168.25,168.59,168.59,10793800.0
Aug 02 2017,170.30,170.55,166.91,169.30,169.30,17433800.0
Aug 01 2017,169.82,170.47,169.05,169.86,169.86,14385000.0
Jul 31 2017,172.00,172.72,168.55,169.25,169.25,25478900.0
Jul 28 2017,169.07,173.43,169.05,172.45,172.45,24557600.0
Jul 27 2017,174.70,175.49,167.50,170.44,170.44,68910700.0
Jul 26 2017,166.01,166.01,164.10,165.61,165.61,35236900.0
Jul 25 2017,165.01,165.54,163.86,165.28,165.28,15383200.0
Jul 24 2017,164.64,166.17,164.31,166.00,166.00,17367000.0
Jul 21 2017,164.16,165.05,163.75,164.43,164.43,14744000.0
Jul 20 2017,164.80,165.00,162.81,164.53,164.53,18523100.0
Jul 19 2017,163.59,165.70,163.17,164.14,164.14,26273600.0
Jul 18 2017,159.66,163.73,159.42,162.86,162.86,23722900.0
Jul 17 2017,160.25,160.78,158.81,159.73,159.73,12858800.0
