Date,Open,High,Low,Close,Adj Close,Volume
Jul 20 2018,33.31,33.33,33.05,33.21,33.21,46500.0
Jul 19 2018,32.79,33.04,32.61,33.04,33.04,22800.0
Jul 18 2018,32.40,33.08,32.22,32.95,32.95,6800.0
Jul 17 2018,32.27,32.64,32.27,32.49,32.49,7000.0
Jul 16 2018,33.03,33.05,32.22,32.31,32.31,18500.0
Jul 13 2018,33.40,34.12,33.36,33.76,33.76,7200.0
Jul 12 2018,33.38,33.40,33.04,33.30,33.30,18500.0
Jul 11 2018,34.25,34.66,33.08,33.33,33.33,18900.0
Jul 10 2018,34.89,34.91,34.66,34.68,34.68,6000.0
Jul 09 2018,34.27,34.78,34.17,34.61,34.61,21400.0
Jul 06 2018,33.91,34.15,33.80,33.91,33.91,7700.0
Jul 05 2018,34.37,34.68,34.19,34.30,34.30,35800.0
Jul 03 2018,34.07,34.32,33.71,33.78,33.78,7200.0
Jul 02 2018,34.33,34.39,33.72,33.83,33.83,15200.0
Jun 29 2018,34.12,34.71,34.09,34.51,34.51,10600.0
Jun 28 2018,33.86,34.20,33.75,33.90,33.90,11000.0
Jun 27 2018,33.52,34.05,33.52,33.77,33.77,8600.0
Jun 26 2018,32.87,33.32,32.47,33.07,33.07,16100.0
Jun 25 2018,32.68,32.79,32.59,32.74,32.74,9400.0
Jun 22 2018,32.63,33.07,32.56,33.03,33.03,15900.0
Jun 21 2018,32.03,32.20,32.03,32.05,32.05,7200.0
Jun 20 2018,32.56,32.59,32.05,32.30,32.30,14900.0
Jun 19 2018,32.56,32.73,32.52,32.63,32.63,17800.0
Jun 18 2018,32.55,32.88,32.54,32.80,32.80,25400.0
Jun 15 2018,33.08,33.08,32.30,32.37,32.37,76000.0
Jun 14 2018,33.74,33.78,33.44,33.44,33.44,19300.0
Jun 13 2018,33.34,34.04,33.30,33.95,33.95,12200.0
Jun 12 2018,33.46,33.63,33.29,33.36,33.36,4600.0
Jun 11 2018,33.46,33.84,33.42,33.58,33.58,9800.0
Jun 08 2018,33.78,33.91,33.41,33.80,33.80,5300.0
Jun 07 2018,33.27,33.94,33.21,33.88,33.88,14400.0
Jun 06 2018,33.45,33.45,32.94,33.22,33.22,36700.0
Jun 05 2018,33.56,33.75,33.44,33.59,33.59,7900.0
Jun 04 2018,34.05,34.05,33.75,33.91,33.91,15300.0
Jun 01 2018,34.21,34.37,34.01,34.14,34.14,13400.0
May 31 2018,34.95,35.10,34.23,34.53,34.53,7700.0
May 30 2018,34.44,34.93,34.44,34.93,34.93,15700.0
May 29 2018,34.41,34.43,33.92,34.16,34.16,17600.0
May 25 2018,34.95,34.97,34.58,34.60,34.60,34000.0
May 24 2018,35.63,35.82,35.56,35.58,35.58,13500.0
May 23 2018,35.94,36.05,35.43,35.93,35.93,21600.0
May 22 2018,36.13,36.45,36.03,36.03,36.03,23400.0
May 21 2018,35.67,36.04,35.58,36.03,36.03,12200.0
May 18 2018,36.03,36.07,35.58,35.60,35.60,58400.0
May 17 2018,36.00,36.29,35.76,35.83,35.83,61900.0
May 16 2018,35.14,35.92,35.00,35.92,35.92,23500.0
May 15 2018,35.05,35.42,34.90,35.16,35.16,26100.0
May 14 2018,34.92,35.22,34.92,35.16,35.16,31100.0
May 11 2018,34.96,35.00,34.72,34.78,34.78,11500.0
May 10 2018,34.60,34.99,34.41,34.91,34.91,44100.0
May 09 2018,34.21,34.62,34.21,34.62,34.62,21900.0
May 08 2018,33.96,34.03,33.11,33.87,33.87,18300.0
May 07 2018,33.95,34.09,33.65,33.75,33.75,22400.0
May 04 2018,33.31,33.74,33.31,33.70,33.70,11600.0
May 03 2018,32.75,33.37,32.74,33.37,33.37,27500.0
May 02 2018,32.97,33.21,32.85,33.05,33.05,14700.0
May 01 2018,33.54,33.54,33.05,33.30,33.30,12300.0
Apr 30 2018,33.59,34.29,33.58,33.90,33.90,20400.0
Apr 27 2018,33.78,33.90,33.76,33.82,33.82,9100.0
Apr 26 2018,33.44,33.79,33.44,33.75,33.75,14800.0
Apr 25 2018,33.44,33.44,33.10,33.38,33.38,4900.0
Apr 24 2018,33.96,33.98,33.40,33.40,33.40,11000.0
Apr 23 2018,33.25,34.07,33.23,34.04,34.04,29600.0
Apr 20 2018,33.00,33.45,32.98,33.36,33.36,21500.0
Apr 19 2018,33.30,33.40,33.04,33.12,33.12,14600.0
Apr 18 2018,32.94,33.13,32.72,33.13,33.13,8300.0
Apr 17 2018,32.40,32.66,32.40,32.59,32.59,4900.0
Apr 16 2018,32.78,32.78,32.52,32.64,32.64,8000.0
Apr 13 2018,32.72,33.00,32.68,32.93,32.93,8300.0
Apr 12 2018,32.73,32.87,32.61,32.82,32.82,5400.0
Apr 11 2018,32.59,33.05,32.55,32.92,32.92,16300.0
Apr 10 2018,32.17,32.65,32.14,32.59,32.59,16600.0
Apr 09 2018,31.44,31.69,31.44,31.68,31.68,11800.0
Apr 06 2018,31.61,31.61,30.94,31.09,31.09,4800.0
Apr 05 2018,31.54,31.74,31.52,31.56,31.56,2400.0
Apr 04 2018,31.01,31.55,30.99,31.48,31.48,11400.0
Apr 03 2018,31.58,31.88,31.52,31.55,31.55,11400.0
Apr 02 2018,31.99,31.99,31.40,31.45,31.45,14400.0
Mar 29 2018,32.18,32.51,32.18,32.30,32.30,11800.0
Mar 28 2018,32.22,32.40,32.10,32.31,32.31,7300.0
Mar 27 2018,32.19,32.39,32.02,32.06,32.06,3400.0
Mar 26 2018,32.49,32.49,32.17,32.20,32.20,4000.0
Mar 23 2018,32.49,32.69,32.34,32.57,32.57,20700.0
Mar 22 2018,31.99,32.30,31.94,32.19,32.19,7400.0
Mar 21 2018,31.87,32.41,30.59,32.28,32.28,20200.0
Mar 20 2018,31.44,31.73,31.37,31.54,31.54,16700.0
Mar 19 2018,31.26,31.26,30.89,30.96,30.96,8900.0
Mar 16 2018,30.79,31.28,30.66,31.20,31.20,32100.0
Mar 15 2018,30.90,31.02,30.76,30.82,30.82,9500.0
Mar 14 2018,30.40,31.12,30.36,30.84,30.84,9400.0
Mar 13 2018,30.20,30.54,29.83,30.18,30.18,15700.0
Mar 12 2018,30.40,30.44,30.15,30.42,30.42,8300.0
Mar 09 2018,30.39,30.70,30.33,30.43,30.43,16300.0
Mar 08 2018,30.34,30.34,29.99,30.11,30.11,11300.0
Mar 07 2018,31.12,31.14,30.56,30.81,30.81,7900.0
Mar 06 2018,30.99,31.08,30.82,30.96,30.96,2600.0
Mar 05 2018,30.26,31.06,30.26,31.05,31.05,6100.0
Mar 02 2018,29.97,30.58,29.80,30.58,30.58,23800.0
Mar 01 2018,30.52,30.55,30.11,30.44,30.44,16600.0
Feb 28 2018,31.72,31.72,30.82,30.89,30.89,12300.0
Feb 27 2018,32.14,32.14,31.77,31.82,31.82,5900.0
Feb 26 2018,31.87,32.24,31.72,32.15,32.15,21500.0
Feb 23 2018,31.43,31.95,31.43,31.92,31.92,14000.0
Feb 22 2018,31.18,31.52,30.98,31.43,31.43,7200.0
Feb 21 2018,30.88,31.12,30.88,31.01,31.01,8800.0
Feb 20 2018,31.17,31.28,30.95,30.96,30.96,30500.0
Feb 16 2018,30.70,31.00,30.62,30.97,30.97,9000.0
Feb 15 2018,30.35,30.78,30.15,30.75,30.75,26900.0
Feb 14 2018,29.50,30.56,29.45,30.44,30.44,29300.0
Feb 13 2018,29.44,30.04,29.37,29.92,29.92,25100.0
Feb 12 2018,30.21,30.42,29.73,29.75,29.75,29300.0
